id,img,english,hindi
1,images/IMG_6357.jpg,Throwing litter in open or streets,कूडा-करकट बाहर फेंकना
2,images/IMG_6358.jpg,Gambling,जुआ खेलना
3,images/IMG_6359.jpg,To take law in hands,तोड-फोड करना
4,images/IMG_6360.jpg,Playing with tools,औजारों से खेलना
5,images/6.jpeg,Playing with electricity,बिजली से खेलना
6,images/IMG_6362.jpg,Animal teasing,जानवरोंके साथ छेडछाड करना
7,images/IMG_6363.jpg,Kite flying or playing on open roofs,खुली छत पर खेलना व पतंग उड़ाना
8,images/IMG_6364.jpg,Playing on the road and travelling on foot board,सड़क पर खेलना व बस में लटककर यात्रा करना
9,images/IMG_6365.jpg,Use of in hygenic and clean eatbles,खुली और गन्दी चीजें खाना
10,images/IMG_6366.jpg,Quarelling,झगड़ा करना
11,images/IMG_6368.jpg,Stealing,चोरी करना
